Location,Year,Month,average_monthly_rainfall,State
Adelaide,2008,August,3.3920000000000003,South Australia
Adelaide,2008,December,1.3032258064516127,South Australia
Adelaide,2008,July,2.888,South Australia
Adelaide,2008,November,0.4758620689655173,South Australia
Adelaide,2008,October,0.28571428571428575,South Australia
Adelaide,2008,September,0.5714285714285715,South Australia
Adelaide,2009,April,2.4533333333333336,South Australia
Adelaide,2009,August,1.8600000000000003,South Australia
Adelaide,2009,December,0.5870967741935484,South Australia
Adelaide,2009,February,0.028571428571428567,South Australia
Adelaide,2009,January,0.03870967741935485,South Australia
Adelaide,2009,July,3.5161290322580645,South Australia
Adelaide,2009,June,1.7333333333333332,South Australia
Adelaide,2009,March,0.6903225806451613,South Australia
Adelaide,2009,May,2.0322580645161294,South Australia
Adelaide,2009,November,1.406666666666667,South Australia
Adelaide,2009,October,0.5935483870967742,South Australia
Adelaide,2009,September,2.1999999999999997,South Australia
Adelaide,2010,April,1.6533333333333335,South Australia
Adelaide,2010,August,3.972413793103448,South Australia
Adelaide,2010,December,2.806451612903226,South Australia
Adelaide,2010,February,0.19999999999999996,South Australia
Adelaide,2010,January,0.2967741935483871,South Australia
Adelaide,2010,July,2.0620689655172413,South Australia
Adelaide,2010,June,2.2689655172413787,South Australia
Adelaide,2010,March,0.6129032258064516,South Australia
Adelaide,2010,May,1.8933333333333333,South Australia
Adelaide,2010,November,0.7733333333333333,South Australia
Adelaide,2010,October,0.9419354838709677,South Australia
Adelaide,2010,September,2.4066666666666667,South Australia
Adelaide,2011,August,3.5538461538461537,South Australia
Adelaide,2011,December,0.5870967741935484,South Australia
Adelaide,2011,February,1.6,South Australia
Adelaide,2011,January,0.561290322580645,South Australia
Adelaide,2011,July,2.117241379310345,South Australia
Adelaide,2011,June,1.282758620689655,South Australia
Adelaide,2011,March,2.638709677419355,South Australia
Adelaide,2011,May,1.993548387096774,South Australia
Adelaide,2011,November,0.8400000000000001,South Australia
Adelaide,2011,October,1.3741935483870966,South Australia
Adelaide,2011,September,1.56,South Australia
Adelaide,2012,April,0.9310344827586204,South Australia
Adelaide,2012,August,2.2666666666666666,South Australia
Adelaide,2012,February,0.8620689655172412,South Australia
Adelaide,2012,January,0.6206896551724139,South Australia
Adelaide,2012,July,2.1354838709677417,South Australia
Adelaide,2012,June,4.514285714285715,South Australia
Adelaide,2012,March,2.070967741935484,South Australia
Adelaide,2012,May,2.7130434782608694,South Australia
