"","Location","Year","Month","average_monthly_hum","State"
"1","Adelaide","2008","August",66.61,"South Australia"
"2","Adelaide","2008","December",48.47,"South Australia"
"3","Adelaide","2008","July",64.18,"South Australia"
"4","Adelaide","2008","November",44.22,"South Australia"
"5","Adelaide","2008","October",40.2,"South Australia"
"6","Adelaide","2008","September",45,"South Australia"
"7","Adelaide","2009","April",51.77,"South Australia"
"8","Adelaide","2009","August",59.32,"South Australia"
"9","Adelaide","2009","December",40.05,"South Australia"
"10","Adelaide","2009","February",35.75,"South Australia"
"11","Adelaide","2009","January",31.26,"South Australia"
"12","Adelaide","2009","July",67.95,"South Australia"
"13","Adelaide","2009","June",67.65,"South Australia"
"14","Adelaide","2009","March",49.81,"South Australia"
"15","Adelaide","2009","May",67.55,"South Australia"
"16","Adelaide","2009","November",38.22,"South Australia"
"17","Adelaide","2009","October",47.23,"South Australia"
"18","Adelaide","2009","September",50.81,"South Australia"
"19","Adelaide","2010","April",54.22,"South Australia"
"20","Adelaide","2010","August",62.85,"South Australia"
"21","Adelaide","2010","December",46.5,"South Australia"
"22","Adelaide","2010","February",40.45,"South Australia"
"23","Adelaide","2010","January",36.15,"South Australia"
"24","Adelaide","2010","July",69.63,"South Australia"
"25","Adelaide","2010","June",69.93,"South Australia"
"26","Adelaide","2010","March",46.44,"South Australia"
"27","Adelaide","2010","May",57.45,"South Australia"
"28","Adelaide","2010","November",48.98,"South Australia"
"29","Adelaide","2010","October",48.82,"South Australia"
"30","Adelaide","2010","September",60.57,"South Australia"
"31","Adelaide","2011","August",60.13,"South Australia"
"32","Adelaide","2011","December",39.56,"South Australia"
"33","Adelaide","2011","February",49.16,"South Australia"
"34","Adelaide","2011","January",44.13,"South Australia"
"35","Adelaide","2011","July",64.61,"South Australia"
"36","Adelaide","2011","June",63.12,"South Australia"
"37","Adelaide","2011","March",56.13,"South Australia"
"38","Adelaide","2011","May",60.68,"South Australia"
"39","Adelaide","2011","November",45.98,"South Australia"
"40","Adelaide","2011","October",51.66,"South Australia"
"41","Adelaide","2011","September",46.35,"South Australia"
"42","Adelaide","2012","April",46.85,"South Australia"
"43","Adelaide","2012","August",63.63,"South Australia"
"44","Adelaide","2012","February",46.07,"South Australia"
"45","Adelaide","2012","January",39.48,"South Australia"
"46","Adelaide","2012","July",66.97,"South Australia"
"47","Adelaide","2012","June",68.8,"South Australia"
"48","Adelaide","2012","March",49.61,"South Australia"
"49","Adelaide","2012","May",61.02,"South Australia"
"50","Adelaide","2012","November",37.47,"South Australia"
"51","Adelaide","2012","October",43.21,"South Australia"
"52","Adelaide","2012","September",49.98,"South Australia"
"53","Adelaide","2013","April",50.9,"South Australia"
"54","Adelaide","2013","August",66.34,"South Australia"
"55","Adelaide","2013","December",38.89,"South Australia"
"56","Adelaide","2013","January",37.94,"South Australia"
"57","Adelaide","2013","July",68.42,"South Australia"
"58","Adelaide","2013","June",68.98,"South Australia"
"59","Adelaide","2013","March",47.11,"South Australia"
"60","Adelaide","2013","May",54.52,"South Australia"
"61","Adelaide","2013","November",40.67,"South Australia"
"62","Adelaide","2013","October",45.16,"South Australia"
"63","Adelaide","2013","September",52.73,"South Australia"
"64","Adelaide","2014","April",53.17,"South Australia"
"65","Adelaide","2014","August",52.03,"South Australia"
"66","Adelaide","2014","December",48.23,"South Australia"
"67","Adelaide","2014","February",42.79,"South Australia"
"68","Adelaide","2014","January",36.05,"South Australia"
"69","Adelaide","2014","July",69.1,"South Australia"
"70","Adelaide","2014","June",71.27,"South Australia"
"71","Adelaide","2014","March",51.37,"South Australia"
"72","Adelaide","2014","May",60.48,"South Australia"
"73","Adelaide","2014","November",40.6,"South Australia"
"74","Adelaide","2014","October",40.58,"South Australia"
"75","Adelaide","2014","September",47,"South Australia"
"76","Adelaide","2015","April",53.57,"South Australia"
"77","Adelaide","2015","August",65.58,"South Australia"
"78","Adelaide","2015","December",32.55,"South Australia"
"79","Adelaide","2015","February",37.88,"South Australia"
"80","Adelaide","2015","January",48.6,"South Australia"
"81","Adelaide","2015","July",67.15,"South Australia"
"82","Adelaide","2015","June",64.92,"South Australia"
"83","Adelaide","2015","March",48.5,"South Australia"
"84","Adelaide","2015","May",64.33,"South Australia"
"85","Adelaide","2015","November",42.76,"South Australia"
"86","Adelaide","2015","October",41.13,"South Australia"
"87","Adelaide","2015","September",48.98,"South Australia"
"88","Adelaide","2016","April",47.43,"South Australia"
"89","Adelaide","2016","August",58.05,"South Australia"
"90","Adelaide","2016","December",45.06,"South Australia"
"91","Adelaide","2016","February",47.45,"South Australia"
"92","Adelaide","2016","January",39.79,"South Australia"
"93","Adelaide","2016","July",69.77,"South Australia"
"94","Adelaide","2016","June",69.8,"South Australia"
"95","Adelaide","2016","March",49.63,"South Australia"
"96","Adelaide","2016","May",64.65,"South Australia"
"97","Adelaide","2016","November",45,"South Australia"
"98","Adelaide","2016","October",50.65,"South Australia"
"99","Adelaide","2016","September",62.38,"South Australia"
"100","Adelaide","2017","April",52.42,"South Australia"
"101","Adelaide","2017","February",48.62,"South Australia"
"102","Adelaide","2017","January",45.68,"South Australia"
"103","Adelaide","2017","June",65.32,"South Australia"
"104","Adelaide","2017","March",49.84,"South Australia"
"105","Adelaide","2017","May",57.85,"South Australia"
"106","Albany","2008","December",68.93,"Western Australia"
"107","Albany","2009","April",72,"Western Australia"
"108","Albany","2009","August",72.23,"Western Australia"
"109","Albany","2009","December",67.42,"Western Australia"
"110","Albany","2009","February",68.15,"Western Australia"
"111","Albany","2009","January",70.55,"Western Australia"
"112","Albany","2009","July",70.52,"Western Australia"
"113","Albany","2009","June",75.1,"Western Australia"
"114","Albany","2009","March",70.95,"Western Australia"
"115","Albany","2009","May",71.71,"Western Australia"
"116","Albany","2009","November",69.21,"Western Australia"
"117","Albany","2009","October",73.23,"Western Australia"
"118","Albany","2009","September",69.82,"Western Australia"
"119","Albany","2010","April",75.32,"Western Australia"
"120","Albany","2010","August",70,"Western Australia"
"121","Albany","2010","December",69.68,"Western Australia"
"122","Albany","2010","February",72.54,"Western Australia"
"123","Albany","2010","January",72.02,"Western Australia"
"124","Albany","2010","July",72.45,"Western Australia"
"125","Albany","2010","June",72.03,"Western Australia"
"126","Albany","2010","March",69.95,"Western Australia"
"127","Albany","2010","May",69.52,"Western Australia"
"128","Albany","2010","November",65.78,"Western Australia"
"129","Albany","2010","October",64.7,"Western Australia"
"130","Albany","2010","September",67.15,"Western Australia"
"131","Albany","2011","August",69.95,"Western Australia"
"132","Albany","2011","December",69.98,"Western Australia"
"133","Albany","2011","February",75.12,"Western Australia"
"134","Albany","2011","January",69.08,"Western Australia"
"135","Albany","2011","July",73.94,"Western Australia"
"136","Albany","2011","June",70.67,"Western Australia"
"137","Albany","2011","March",69.48,"Western Australia"
"138","Albany","2011","May",71.16,"Western Australia"
"139","Albany","2011","November",64.88,"Western Australia"
"140","Albany","2011","October",72.9,"Western Australia"
"141","Albany","2011","September",68.37,"Western Australia"
"142","Albany","2012","April",67.84,"Western Australia"
"143","Albany","2012","August",71.53,"Western Australia"
