"","Location","Year","Month","average_WindGustSpeed","Lat","Long","State"
"1","Adelaide",2008,"August",39.6318892236318,-34.9281805,138.5999312,"South Australia"
"2","Adelaide",2008,"December",36.6129032258064,-34.9281805,138.5999312,"South Australia"
"3","Adelaide",2008,"July",39.4516129032258,-34.9281805,138.5999312,"South Australia"
"4","Adelaide",2008,"November",43.0172228097916,-34.9281805,138.5999312,"South Australia"
"5","Adelaide",2008,"October",36.5566986508728,-34.9281805,138.5999312,"South Australia"
"6","Adelaide",2008,"September",40.7,-34.9281805,138.5999312,"South Australia"
"7","Adelaide",2009,"April",35.1333333333333,-34.9281805,138.5999312,"South Australia"
"8","Adelaide",2009,"August",44.1802590142094,-34.9281805,138.5999312,"South Australia"
"9","Adelaide",2009,"December",38.4838709677419,-34.9281805,138.5999312,"South Australia"
"10","Adelaide",2009,"February",40.0449351090605,-34.9281805,138.5999312,"South Australia"
"11","Adelaide",2009,"January",39.6451612903226,-34.9281805,138.5999312,"South Australia"
"12","Adelaide",2009,"July",38.1612903225806,-34.9281805,138.5999312,"South Australia"
"13","Adelaide",2009,"June",34.3333333333333,-34.9281805,138.5999312,"South Australia"
"14","Adelaide",2009,"March",36.7234519077465,-34.9281805,138.5999312,"South Australia"
"15","Adelaide",2009,"May",28.4516129032258,-34.9281805,138.5999312,"South Australia"
"16","Adelaide",2009,"November",41.4,-34.9281805,138.5999312,"South Australia"
"17","Adelaide",2009,"October",39.3225806451613,-34.9281805,138.5999312,"South Australia"
"18","Adelaide",2009,"September",42.6,-34.9281805,138.5999312,"South Australia"
"19","Adelaide",2010,"April",35.2490916736424,-34.9281805,138.5999312,"South Australia"
"20","Adelaide",2010,"August",44.8343203978974,-34.9281805,138.5999312,"South Australia"
"21","Adelaide",2010,"December",41.6774193548387,-34.9281805,138.5999312,"South Australia"
"22","Adelaide",2010,"February",38.3214285714286,-34.9281805,138.5999312,"South Australia"
"23","Adelaide",2010,"January",37.258064516129,-34.9281805,138.5999312,"South Australia"
"24","Adelaide",2010,"July",32,-34.9281805,138.5999312,"South Australia"
"25","Adelaide",2010,"June",32.0666666666667,-34.9281805,138.5999312,"South Australia"
"26","Adelaide",2010,"March",36.1595548362201,-34.9281805,138.5999312,"South Australia"
"27","Adelaide",2010,"May",31.3225806451613,-34.9281805,138.5999312,"South Australia"
"28","Adelaide",2010,"November",34.8333333333333,-34.9281805,138.5999312,"South Australia"
"29","Adelaide",2010,"October",38.6129032258064,-34.9281805,138.5999312,"South Australia"
"30","Adelaide",2010,"September",38.5666666666667,-34.9281805,138.5999312,"South Australia"
"31","Adelaide",2011,"August",34.7282188490874,-34.9281805,138.5999312,"South Australia"
"32","Adelaide",2011,"December",39.5806451612903,-34.9281805,138.5999312,"South Australia"
"33","Adelaide",2011,"February",35.8928571428571,-34.9281805,138.5999312,"South Australia"
"34","Adelaide",2011,"January",34.9032258064516,-34.9281805,138.5999312,"South Australia"
"35","Adelaide",2011,"July",34.9354838709677,-34.9281805,138.5999312,"South Australia"
"36","Adelaide",2011,"June",36.0333333333333,-34.9281805,138.5999312,"South Australia"
"37","Adelaide",2011,"March",36.9347471588802,-34.9281805,138.5999312,"South Australia"
"38","Adelaide",2011,"May",32.1612903225806,-34.9281805,138.5999312,"South Australia"
"39","Adelaide",2011,"November",39.8,-34.9281805,138.5999312,"South Australia"
"40","Adelaide",2011,"October",38.0322580645161,-34.9281805,138.5999312,"South Australia"
"41","Adelaide",2011,"September",41.2666666666667,-34.9281805,138.5999312,"South Australia"
"42","Adelaide",2012,"April",31.9333333333333,-34.9281805,138.5999312,"South Australia"
"43","Adelaide",2012,"August",42.0967741935484,-34.9281805,138.5999312,"South Australia"
"44","Adelaide",2012,"February",38.1490488219685,-34.9281805,138.5999312,"South Australia"
"45","Adelaide",2012,"January",44.7741935483871,-34.9281805,138.5999312,"South Australia"
"46","Adelaide",2012,"July",32.8064516129032,-34.9281805,138.5999312,"South Australia"
"47","Adelaide",2012,"June",36.0659133353581,-34.9281805,138.5999312,"South Australia"
"48","Adelaide",2012,"March",38.3548387096774,-34.9281805,138.5999312,"South Australia"
"49","Adelaide",2012,"May",32.7096774193548,-34.9281805,138.5999312,"South Australia"
"50","Adelaide",2012,"November",40.5,-34.9281805,138.5999312,"South Australia"
"51","Adelaide",2012,"October",38.5806451612903,-34.9281805,138.5999312,"South Australia"
"52","Adelaide",2012,"September",41.5666666666667,-34.9281805,138.5999312,"South Australia"
"53","Adelaide",2013,"April",33.6333333333333,-34.9281805,138.5999312,"South Australia"
"54","Adelaide",2013,"August",42.1290322580645,-34.9281805,138.5999312,"South Australia"
"55","Adelaide",2013,"December",41.1290322580645,-34.9281805,138.5999312,"South Australia"
"56","Adelaide",2013,"January",39.1935483870968,-34.9281805,138.5999312,"South Australia"
"57","Adelaide",2013,"July",39.4516129032258,-34.9281805,138.5999312,"South Australia"
"58","Adelaide",2013,"June",31.7,-34.9281805,138.5999312,"South Australia"
"59","Adelaide",2013,"March",38.4838709677419,-34.9281805,138.5999312,"South Australia"
"60","Adelaide",2013,"May",33,-34.9281805,138.5999312,"South Australia"
"61","Adelaide",2013,"November",39.5333333333333,-34.9281805,138.5999312,"South Australia"
"62","Adelaide",2013,"October",45.0645161290323,-34.9281805,138.5999312,"South Australia"
"63","Adelaide",2013,"September",45.3666666666667,-34.9281805,138.5999312,"South Australia"
"64","Adelaide",2014,"April",33.4333333333333,-34.9281805,138.5999312,"South Australia"
"65","Adelaide",2014,"August",32.9032258064516,-34.9281805,138.5999312,"South Australia"
"66","Adelaide",2014,"December",38.2903225806452,-34.9281805,138.5999312,"South Australia"
"67","Adelaide",2014,"February",41.9285714285714,-34.9281805,138.5999312,"South Australia"
"68","Adelaide",2014,"January",41.4193548387097,-34.9281805,138.5999312,"South Australia"
"69","Adelaide",2014,"July",40.1935483870968,-34.9281805,138.5999312,"South Australia"
"70","Adelaide",2014,"June",37.2666666666667,-34.9281805,138.5999312,"South Australia"
"71","Adelaide",2014,"March",35.3870967741936,-34.9281805,138.5999312,"South Australia"
"72","Adelaide",2014,"May",32.2258064516129,-34.9281805,138.5999312,"South Australia"
"73","Adelaide",2014,"November",37.1,-34.9281805,138.5999312,"South Australia"
"74","Adelaide",2014,"October",37.5806451612903,-34.9281805,138.5999312,"South Australia"
"75","Adelaide",2014,"September",40.6,-34.9281805,138.5999312,"South Australia"
"76","Adelaide",2015,"April",33.6693269415448,-34.9281805,138.5999312,"South Australia"
"77","Adelaide",2015,"August",32.0322580645161,-34.9281805,138.5999312,"South Australia"
"78","Adelaide",2015,"December",36.8709677419355,-34.9281805,138.5999312,"South Australia"
"79","Adelaide",2015,"February",36.9285714285714,-34.9281805,138.5999312,"South Australia"
"80","Adelaide",2015,"January",42.6129032258064,-34.9281805,138.5999312,"South Australia"
