"","Location","Year","Month","average_WindGustSpeed"
"1","Adelaide",2008,"August",39.6318892236318
"2","Adelaide",2008,"December",36.6129032258064
"3","Adelaide",2008,"July",39.4516129032258
"4","Adelaide",2008,"November",43.0172228097916
"5","Adelaide",2008,"October",36.5566986508728
"6","Adelaide",2008,"September",40.7
"7","Adelaide",2009,"April",35.1333333333333
"8","Adelaide",2009,"August",44.1802590142094
"9","Adelaide",2009,"December",38.4838709677419
"10","Adelaide",2009,"February",40.0449351090605
"11","Adelaide",2009,"January",39.6451612903226
"12","Adelaide",2009,"July",38.1612903225806
"13","Adelaide",2009,"June",34.3333333333333
"14","Adelaide",2009,"March",36.7234519077465
"15","Adelaide",2009,"May",28.4516129032258
"16","Adelaide",2009,"November",41.4
"17","Adelaide",2009,"October",39.3225806451613
"18","Adelaide",2009,"September",42.6
"19","Adelaide",2010,"April",35.2490916736424
"20","Adelaide",2010,"August",44.8343203978974
"21","Adelaide",2010,"December",41.6774193548387
"22","Adelaide",2010,"February",38.3214285714286
"23","Adelaide",2010,"January",37.258064516129
"24","Adelaide",2010,"July",32
"25","Adelaide",2010,"June",32.0666666666667
"26","Adelaide",2010,"March",36.1595548362201
"27","Adelaide",2010,"May",31.3225806451613
"28","Adelaide",2010,"November",34.8333333333333
"29","Adelaide",2010,"October",38.6129032258064
"30","Adelaide",2010,"September",38.5666666666667
"31","Adelaide",2011,"August",34.7282188490874
"32","Adelaide",2011,"December",39.5806451612903
"33","Adelaide",2011,"February",35.8928571428571
"34","Adelaide",2011,"January",34.9032258064516
"35","Adelaide",2011,"July",34.9354838709677
"36","Adelaide",2011,"June",36.0333333333333
"37","Adelaide",2011,"March",36.9347471588802
"38","Adelaide",2011,"May",32.1612903225806
"39","Adelaide",2011,"November",39.8
"40","Adelaide",2011,"October",38.0322580645161
"41","Adelaide",2011,"September",41.2666666666667
"42","Adelaide",2012,"April",31.9333333333333
"43","Adelaide",2012,"August",42.0967741935484
"44","Adelaide",2012,"February",38.1490488219685
"45","Adelaide",2012,"January",44.7741935483871
"46","Adelaide",2012,"July",32.8064516129032
"47","Adelaide",2012,"June",36.0659133353581
"48","Adelaide",2012,"March",38.3548387096774
"49","Adelaide",2012,"May",32.7096774193548
"50","Adelaide",2012,"November",40.5
"51","Adelaide",2012,"October",38.5806451612903
"52","Adelaide",2012,"September",41.5666666666667
"53","Adelaide",2013,"April",33.6333333333333
"54","Adelaide",2013,"August",42.1290322580645
"55","Adelaide",2013,"December",41.1290322580645
"56","Adelaide",2013,"January",39.1935483870968
"57","Adelaide",2013,"July",39.4516129032258
"58","Adelaide",2013,"June",31.7
"59","Adelaide",2013,"March",38.4838709677419
"60","Adelaide",2013,"May",33
"61","Adelaide",2013,"November",39.5333333333333
"62","Adelaide",2013,"October",45.0645161290323
"63","Adelaide",2013,"September",45.3666666666667
"64","Adelaide",2014,"April",33.4333333333333
"65","Adelaide",2014,"August",32.9032258064516
"66","Adelaide",2014,"December",38.2903225806452
"67","Adelaide",2014,"February",41.9285714285714
"68","Adelaide",2014,"January",41.4193548387097
"69","Adelaide",2014,"July",40.1935483870968
"70","Adelaide",2014,"June",37.2666666666667
"71","Adelaide",2014,"March",35.3870967741936
"72","Adelaide",2014,"May",32.2258064516129
"73","Adelaide",2014,"November",37.1
"74","Adelaide",2014,"October",37.5806451612903
"75","Adelaide",2014,"September",40.6
"76","Adelaide",2015,"April",33.6693269415448
"77","Adelaide",2015,"August",32.0322580645161
"78","Adelaide",2015,"December",36.8709677419355
"79","Adelaide",2015,"February",36.9285714285714
"80","Adelaide",2015,"January",42.6129032258064
"81","Adelaide",2015,"July",32.7741935483871
"82","Adelaide",2015,"June",25.2
"83","Adelaide",2015,"March",35.8387096774194
"84","Adelaide",2015,"May",31.773670500565
"85","Adelaide",2015,"November",35.2466676287974
"86","Adelaide",2015,"October",32
"87","Adelaide",2015,"September",33.8
"88","Adelaide",2016,"April",29.2666666666667
"89","Adelaide",2016,"August",36.6451612903226
"90","Adelaide",2016,"December",37.1612903225806
"91","Adelaide",2016,"February",34.4137931034483
"92","Adelaide",2016,"January",35.1935483870968
"93","Adelaide",2016,"July",35.9032258064516
"94","Adelaide",2016,"June",33.6333333333333
"95","Adelaide",2016,"March",28.2903225806452
"96","Adelaide",2016,"May",35.2258064516129
"97","Adelaide",2016,"November",34.8
"98","Adelaide",2016,"October",41.4838709677419
"99","Adelaide",2016,"September",35.8
"100","Adelaide",2017,"April",28.8
"101","Adelaide",2017,"February",34.6938712755551
"102","Adelaide",2017,"January",35.3870967741936
"103","Adelaide",2017,"June",21.1068370669335
"104","Adelaide",2017,"March",32.1613338165766
"105","Adelaide",2017,"May",27.4838709677419
"106","Albany",2008,"December",48.208879385474
"107","Albany",2009,"April",49.7899196967483
"108","Albany",2009,"August",54.3437285285683
"109","Albany",2009,"December",48.8379023692781
"110","Albany",2009,"February",52.2389067144
"111","Albany",2009,"January",47.4561066943551
"112","Albany",2009,"July",44.7398933888443
"113","Albany",2009,"June",45.4905248098075
"114","Albany",2009,"March",50.9118143846131
"115","Albany",2009,"May",50.5837026994014
"116","Albany",2009,"November",52.644173593726
"117","Albany",2009,"October",43.6689164382856
"118","Albany",2009,"September",48.0285865189508
"119","Albany",2010,"April",46.7068439479917
"120","Albany",2010,"August",51.9983596009232
"121","Albany",2010,"December",48.2759090226084
"122","Albany",2010,"February",51.0315236166519
"123","Albany",2010,"January",46.2501860403967
"124","Albany",2010,"July",49.6116484937468
"125","Albany",2010,"June",51.8286108197644
"126","Albany",2010,"March",54.8844382384672
"127","Albany",2010,"May",49.982108277449
"128","Albany",2010,"November",52.5674691051245
"129","Albany",2010,"October",51.3263687764805
"130","Albany",2010,"September",48.9671133081429
"131","Albany",2011,"August",52.8080010670988
"132","Albany",2011,"December",48.7767717650821
"133","Albany",2011,"February",52.0490974673469
"134","Albany",2011,"January",48.880386642601
"135","Albany",2011,"July",51.5704792425517
"136","Albany",2011,"June",49.7151108421385
"137","Albany",2011,"March",48.3729576672457
"138","Albany",2011,"May",47.9067517424964
"139","Albany",2011,"November",51.2961356029846
"140","Albany",2011,"October",51.3321150690618
"141","Albany",2011,"September",56.2200684249401
"142","Albany",2012,"April",48.7452856772579
"143","Albany",2012,"August",48.3546863039655
"144","Albany",2012,"February",45.9706345730429
"145","Albany",2012,"January",47.8892890363932
"146","Albany",2012,"July",49.5594102222352
"147","Albany",2012,"June",56.6038732281886
"148","Albany",2012,"March",53.3804250537087
"149","Albany",2012,"May",46.7825631394742
"150","Albany",2012,"November",45.4577640523203
"151","Albany",2012,"October",50.8615380129026
"152","Albany",2012,"September",48.2657311884686
"153","Albany",2013,"April",48.3354060710408
"154","Albany",2013,"August",46.7608044664526
"155","Albany",2013,"December",45.047359717409
"156","Albany",2013,"January",48.2705694132094
"157","Albany",2013,"July",50.5177295443812
"158","Albany",2013,"June",49.9066315493546
"159","Albany",2013,"March",53.2736231873353
"160","Albany",2013,"May",48.8799908779742
"161","Albany",2013,"November",48.4603988840245
"162","Albany",2013,"October",50.6114609309682
"163","Albany",2013,"September",49.3598357820883
"164","Albany",2014,"April",50.3218604801223
"165","Albany",2014,"August",50.8039882366035
"166","Albany",2014,"December",55.1835518346859
"167","Albany",2014,"February",50.3307406266686
"168","Albany",2014,"January",49.6334996218643
"169","Albany",2014,"July",47.4550628297091
"170","Albany",2014,"June",49.60182482237
"171","Albany",2014,"March",54.3095514423124
"172","Albany",2014,"May",58.1755566352137
"173","Albany",2014,"November",55.3581719347276
"174","Albany",2014,"October",46.2938085324582
"175","Albany",2014,"September",47.6139818234369
"176","Albany",2015,"April",52.7168650864623
"177","Albany",2015,"August",47.6712990902184
"178","Albany",2015,"December",53.2891963046765
"179","Albany",2015,"February",45.8991703133298
"180","Albany",2015,"January",44.2493133267929
"181","Albany",2015,"July",49.7522163847762
"182","Albany",2015,"June",53.9507048209198
"183","Albany",2015,"March",49.6733927348208
"184","Albany",2015,"May",45.3281589412701
"185","Albany",2015,"November",51.966810350772
"186","Albany",2015,"October",48.2247098966412
"187","Albany",2015,"September",49.6170995729044
"188","Albany",2016,"April",48.5900965570472
"189","Albany",2016,"August",53.6664866869368
"190","Albany",2016,"December",52.3074835639507
